,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,ASML240126C00460000,460.0,255.7,407.50,411.9,0,0.890652
1,ASML240126C00500000,500.0,257.6,367.50,371.1,1,0.738600
2,ASML240126C00525000,525.0,184.3,342.80,346.0,2,0.656000
3,ASML240126C00530000,530.0,188.98,337.70,341.5,1,0.640755
4,ASML240126C00575000,575.0,284.75,282.60,288.6,0,0.496696
5,ASML240126C00615000,615.0,130.95,252.60,256.3,1,0.413740
6,ASML240126C00620000,620.0,147.28,247.60,251.5,1,0.402500
7,ASML240126C00625000,625.0,121.22,242.80,246.7,5,0.391600
8,ASML240126C00630000,630.0,240.0,237.80,241.5,1,0.380397
9,ASML240126C00640000,640.0,81.5,227.60,231.3,12,0.358516
10,ASML240126C00645000,645.0,65.0,222.60,226.3,24,0.347984
11,ASML240126C00650000,650.0,70.5,217.60,220.9,2,0.337308
12,ASML240126C00655000,655.0,102.8,212.90,216.3,2,0.327634
13,ASML240126C00660000,660.0,53.09,207.90,211.3,1,0.317576
14,ASML240126C00670000,670.0,190.47,198.00,201.5,1,0.298134
15,ASML240126C00675000,675.0,173.55,192.80,196.4,1,0.288296
16,ASML240126C00680000,680.0,179.04,187.70,191.6,1,0.278897
17,ASML240126C00685000,685.0,180.15,182.90,186.1,1,0.269343
18,ASML240126C00690000,690.0,82.82,177.40,181.9,1,0.260362
19,ASML240126C00692500,692.5,29.8,175.30,179.1,0,0.255884
20,ASML240126C00695000,695.0,73.1,172.90,176.7,2,0.251511
21,ASML240126C00700000,700.0,180.28,168.00,171.5,1,0.242500
22,ASML240126C00702500,702.5,47.85,165.30,168.8,3,0.237794
23,ASML240126C00705000,705.0,154.0,162.90,166.0,2,0.233262
24,ASML240126C00707500,707.5,63.93,160.00,164.0,4,0.228975
25,ASML240126C00710000,710.0,149.0,157.70,161.6,11,0.224859
26,ASML240126C00712500,712.5,130.02,155.10,158.3,2,0.219930
27,ASML240126C00715000,715.0,164.96,152.60,157.5,1,0.216853
28,ASML240126C00717500,717.5,124.98,150.00,154.2,2,0.211986
29,ASML240126C00720000,720.0,141.62,147.90,151.1,11,0.207639
30,ASML240126C00722500,722.5,33.3,145.30,148.6,1,0.203391
31,ASML240126C00725000,725.0,136.58,142.60,146.7,6,0.199517
32,ASML240126C00727500,727.5,29.8,140.40,144.0,1,0.195464
33,ASML240126C00730000,730.0,135.6,137.70,141.0,1,0.190890
34,ASML240126C00735000,735.0,108.94,132.80,136.0,11,0.182857
35,ASML240126C00740000,740.0,127.51,127.60,130.9,19,0.174662
36,ASML240126C00745000,745.0,125.05,122.80,126.6,4,0.167383
37,ASML240126C00750000,750.0,117.57,117.80,121.7,20,0.159667
38,ASML240126C00755000,755.0,109.96,113.20,116.6,4,0.152185
39,ASML240126C00760000,760.0,107.63,107.60,111.3,6,0.144013
40,ASML240126C00765000,765.0,101.15,103.10,106.0,1,0.136667
41,ASML240126C00770000,770.0,97.89,97.80,101.6,6,0.129481
42,ASML240126C00775000,775.0,83.5,94.10,95.5,1,0.122323
43,ASML240126C00780000,780.0,87.12,87.90,90.4,3,0.114295
44,ASML240126C00785000,785.0,80.1,82.70,86.3,3,0.107643
45,ASML240126C00790000,790.0,66.0,77.60,81.3,2,0.100570
46,ASML240126C00795000,795.0,72.58,72.50,76.6,1,0.093774
47,ASML240126C00800000,800.0,69.52,69.50,70.9,19,0.087750
48,ASML240126C00805000,805.0,51.45,62.80,66.4,3,0.080248
49,ASML240126C00810000,810.0,58.35,59.40,60.5,12,0.074012
50,ASML240126C00815000,815.0,53.25,52.70,55.6,7,0.066442
51,ASML240126C00820000,820.0,47.89,49.40,50.5,6,0.060915
52,ASML240126C00825000,825.0,42.0,43.90,45.7,12,0.054303
53,ASML240126C00830000,830.0,39.39,39.00,40.6,12,0.047952
54,ASML240126C00835000,835.0,32.43,33.20,36.0,4,0.041437
55,ASML240126C00840000,840.0,29.0,29.30,30.6,11,0.035655
56,ASML240126C00845000,845.0,24.6,24.10,25.5,213,0.029349
57,ASML240126C00850000,850.0,17.71,19.00,20.6,216,0.023294
58,ASML240126C00855000,855.0,14.22,14.10,15.8,108,0.017485
59,ASML240126C00860000,860.0,6.75,9.30,10.6,160,0.011570
60,ASML240126C00865000,865.0,5.2,4.90,5.8,190,0.006185
61,ASML240126C00870000,870.0,2.15,1.65,2.15,810,0.002184
62,ASML240126C00880000,880.0,0.17,0.10,0.25,252,0.000199
63,ASML240126C00890000,890.0,0.05,0.00,0.05,252,0.000028
64,ASML240126C00895000,895.0,1.18,0,1.5,0,0.000838
65,ASML240126C00940000,940.0,0.15,0,0.05,0,0.000027
