,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,ASML240126C00845000,845.0,24.6,24.10,25.5,213,0.029349
1,ASML240126C00850000,850.0,17.71,19.00,20.6,216,0.023294
2,ASML240126C00855000,855.0,14.22,14.10,15.8,108,0.017485
3,ASML240126C00860000,860.0,6.75,9.30,10.6,160,0.011570
4,ASML240126C00865000,865.0,5.2,4.90,5.8,190,0.006185
5,ASML240126C00870000,870.0,2.15,1.65,2.15,810,0.002184
6,ASML240126C00880000,880.0,0.17,0.10,0.25,252,0.000199
7,ASML240126C00890000,890.0,0.05,0.00,0.05,252,0.000028
8,ASML240126C00895000,895.0,1.18,0,1.5,0,0.000838
9,ASML240126C00940000,940.0,0.15,0,0.05,0,0.000027
