,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,ASML240126P00505000,505.0,0.15,0.00,0.1,1,0.000099
1,ASML240126P00575000,575.0,0.13,0.00,1.2,5,0.001043
2,ASML240126P00580000,580.0,0.1,0.00,1.15,5,0.000991
3,ASML240126P00585000,585.0,0.03,0.00,1.2,1,0.001026
4,ASML240126P00590000,590.0,0.27,0.00,1.1,0,0.000932
5,ASML240126P00595000,595.0,0.8,0.00,0.1,0,0.000084
6,ASML240126P00600000,600.0,0.21,0.00,0.1,25,0.000083
7,ASML240126P00605000,605.0,0.05,0.00,0.05,1,0.000041
8,ASML240126P00610000,610.0,0.05,0.00,1.3,1,0.001066
9,ASML240126P00615000,615.0,0.05,0.00,1.4,2,0.001138
10,ASML240126P00620000,620.0,0.05,0.00,1.5,1,0.001210
11,ASML240126P00625000,625.0,0.05,0.00,1.45,1,0.001160
12,ASML240126P00630000,630.0,0.05,0.00,1.35,4,0.001071
13,ASML240126P00635000,635.0,0.05,0.00,0.1,1,0.000079
14,ASML240126P00640000,640.0,0.06,0.00,0.05,2,0.000039
15,ASML240126P00645000,645.0,0.02,0.00,0.05,10,0.000039
16,ASML240126P00650000,650.0,0.05,0.00,0.05,1,0.000038
17,ASML240126P00655000,655.0,0.05,0.00,0.05,1,0.000038
18,ASML240126P00660000,660.0,0.03,0.00,0.05,2,0.000038
19,ASML240126P00665000,665.0,0.05,0.00,0.05,2,0.000038
20,ASML240126P00670000,670.0,0.03,0.00,0.05,4,0.000037
21,ASML240126P00675000,675.0,0.01,0.00,0.05,23,0.000037
22,ASML240126P00680000,680.0,0.02,0.00,0.05,23,0.000037
23,ASML240126P00685000,685.0,0.05,0.00,0.05,13,0.000036
24,ASML240126P00690000,690.0,0.03,0.00,0.05,12,0.000036
25,ASML240126P00692500,692.5,0.02,0.00,0.05,3,0.000036
26,ASML240126P00695000,695.0,0.03,0.00,0.05,8,0.000036
27,ASML240126P00697500,697.5,0.02,0.00,0.05,5,0.000036
28,ASML240126P00700000,700.0,0.02,0.00,0.05,8,0.000036
29,ASML240126P00702500,702.5,0.02,0.00,0.05,1,0.000036
30,ASML240126P00705000,705.0,0.02,0.00,0.05,8,0.000035
31,ASML240126P00707500,707.5,0.05,0.00,0.05,1,0.000035
32,ASML240126P00710000,710.0,0.05,0.00,0.05,1,0.000035
33,ASML240126P00712500,712.5,0.02,0.00,0.05,2,0.000035
34,ASML240126P00715000,715.0,0.01,0.00,0.05,16,0.000035
35,ASML240126P00717500,717.5,0.03,0.00,0.05,1,0.000035
36,ASML240126P00720000,720.0,0.04,0.00,0.05,1,0.000035
37,ASML240126P00722500,722.5,0.05,0.00,0.05,1,0.000035
38,ASML240126P00725000,725.0,0.04,0.00,0.05,1,0.000034
39,ASML240126P00727500,727.5,0.05,0.00,0.05,2,0.000034
40,ASML240126P00730000,730.0,0.03,0.00,0.05,10,0.000034
41,ASML240126P00735000,735.0,0.03,0.00,0.05,9,0.000034
42,ASML240126P00740000,740.0,0.02,0.00,0.05,14,0.000034
43,ASML240126P00745000,745.0,0.11,0.00,0.25,1,0.000168
44,ASML240126P00750000,750.0,0.05,0.00,0.05,3,0.000033
45,ASML240126P00755000,755.0,0.2,0.00,0.1,4,0.000066
46,ASML240126P00760000,760.0,0.05,0.00,0.1,35,0.000066
47,ASML240126P00765000,765.0,0.08,0.00,0.05,90,0.000033
48,ASML240126P00770000,770.0,0.05,0.00,0.05,40,0.000032
49,ASML240126P00775000,775.0,0.05,0.00,0.05,68,0.000032
50,ASML240126P00780000,780.0,0.05,0.00,0.1,2,0.000064
51,ASML240126P00785000,785.0,0.1,0.00,0.05,24,0.000032
52,ASML240126P00790000,790.0,0.05,0.00,0.05,30,0.000032
53,ASML240126P00795000,795.0,0.03,0.00,0.05,3,0.000031
54,ASML240126P00800000,800.0,0.02,0.00,0.05,26,0.000031
55,ASML240126P00805000,805.0,0.04,0.00,0.1,51,0.000062
56,ASML240126P00810000,810.0,0.03,0.00,0.1,2,0.000062
57,ASML240126P00815000,815.0,0.05,0.00,0.05,4,0.000031
58,ASML240126P00820000,820.0,0.02,0.00,0.1,31,0.000061
59,ASML240126P00825000,825.0,0.1,0.00,0.1,3,0.000061
60,ASML240126P00830000,830.0,0.08,0.00,0.15,54,0.000090
61,ASML240126P00835000,835.0,0.42,0,1.45,0,0.000868
62,ASML240126P00850000,850.0,0.05,0.00,0.15,573,0.000088
63,ASML240126P00865000,865.0,6.2,6.10,8.9,0,0.008671
64,ASML240126P00875000,875.0,11.5,12.60,18.5,0,0.017771
65,ASML240126P00885000,885.0,18.5,22.90,26.2,0,0.027740
