,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,AZN240126C00062000,62.0,4.64,5.15,5.35,13,0.084677
1,AZN240126C00064000,64.0,2.9,3.15,3.35,4,0.050781
2,AZN240126C00065000,65.0,2.42,2.2,2.33,1,0.034846
3,AZN240126C00066000,66.0,1.78,1.17,1.33,10,0.018939
4,AZN240126C00067000,67.0,0.24,0.25,0.31,14,0.004179
5,AZN240126C00068000,68.0,0.01,0.01,0.03,31,0.000294
6,AZN240126C00069000,69.0,0.02,0.0,0.2,60,0.001449
7,AZN240126C00070000,70.0,0.04,0.0,0.1,16,0.000714
8,AZN240126C00071000,71.0,0.01,0.0,0.04,1,0.000282
9,AZN240126C00072000,72.0,0.02,0.0,0.04,4,0.000278
