,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,AZN240126P00057000,57.0,0.01,0.0,0.5,0,0.004386
1,AZN240126P00058000,58.0,0.11,0.0,0.16,0,0.001379
2,AZN240126P00061000,61.0,0.24,0.0,0.21,1,0.001721
3,AZN240126P00062000,62.0,0.03,0.0,0.5,18,0.004032
4,AZN240126P00063000,63.0,0.05,0.0,0.5,1,0.003968
5,AZN240126P00064000,64.0,0.06,0.0,0.5,1,0.003906
6,AZN240126P00065000,65.0,0.01,0.0,0.5,12,0.003846
7,AZN240126P00066000,66.0,0.04,0.0,0.04,23,0.000303
8,AZN240126P00067000,67.0,0.03,0.02,0.04,29,0.000448
9,AZN240126P00068000,68.0,0.6,0.67,0.94,8,0.011838
10,AZN240126P00069000,69.0,0.7,1.61,1.85,10,0.025072
11,AZN240126P00070000,70.0,4.04,2.6,2.86,2,0.039000
12,AZN240126P00072000,72.0,3.05,4.65,4.85,4,0.065972
