,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BABA240126C00035000,35.0,38.9,39.4,39.5,2,1.127143
1,BABA240126C00045000,45.0,29.05,29.3,29.5,1,0.653333
2,BABA240126C00050000,50.0,23.8,24.35,24.5,2,0.488500
3,BABA240126C00055000,55.0,12.65,19.3,19.5,16,0.352727
4,BABA240126C00058000,58.0,13.74,16.3,16.5,21,0.282759
5,BABA240126C00059000,59.0,9.7,15.35,15.5,5,0.261441
6,BABA240126C00060000,60.0,13.5,14.3,14.45,2,0.239583
7,BABA240126C00061000,61.0,13.15,13.25,13.5,310,0.219262
8,BABA240126C00062000,62.0,12.5,12.15,12.4,3,0.197984
9,BABA240126C00063000,63.0,11.59,11.25,11.4,1,0.179762
10,BABA240126C00064000,64.0,10.4,10.35,10.5,61,0.162891
11,BABA240126C00065000,65.0,9.52,9.3,9.45,34,0.144231
12,BABA240126C00066000,66.0,8.09,8.2,8.45,5,0.126136
13,BABA240126C00067000,67.0,7.32,7.35,7.5,61,0.110821
14,BABA240126C00068000,68.0,6.35,6.4,6.45,261,0.094485
15,BABA240126C00069000,69.0,5.35,5.35,5.5,100,0.078623
16,BABA240126C00070000,70.0,4.43,4.35,4.45,1073,0.062857
17,BABA240126C00071000,71.0,3.33,3.4,3.5,195,0.048592
18,BABA240126C00072000,72.0,2.3,2.32,2.43,668,0.032986
19,BABA240126C00073000,73.0,1.4,1.35,1.47,3615,0.019315
20,BABA240126C00074000,74.0,0.5,0.44,0.51,7668,0.006419
21,BABA240126C00075000,75.0,0.03,0.02,0.03,15005,0.000333
22,BABA240126C00076000,76.0,0.01,0.01,0.02,2840,0.000197
23,BABA240126C00077000,77.0,0.01,0.01,0.02,1707,0.000195
24,BABA240126C00078000,78.0,0.01,0.0,0.01,652,0.000064
25,BABA240126C00079000,79.0,0.02,0.0,0.01,71,0.000063
26,BABA240126C00080000,80.0,0.01,0.0,0.01,612,0.000063
27,BABA240126C00081000,81.0,0.01,0.0,0.01,36,0.000062
28,BABA240126C00082000,82.0,0.01,0.0,0.01,60,0.000061
29,BABA240126C00083000,83.0,0.01,0.0,0.01,88,0.000060
30,BABA240126C00084000,84.0,0.01,0.0,0.01,52,0.000060
31,BABA240126C00085000,85.0,0.01,0.0,0.01,10,0.000059
32,BABA240126C00086000,86.0,0.01,0.0,0.01,530,0.000058
33,BABA240126C00087000,87.0,0.01,0.0,0.01,62,0.000057
34,BABA240126C00088000,88.0,0.01,0.0,0.01,67,0.000057
35,BABA240126C00089000,89.0,0.01,0.0,0.01,1,0.000056
36,BABA240126C00090000,90.0,0.01,0.0,0.01,593,0.000056
37,BABA240126C00091000,91.0,0.01,0.0,0.01,1,0.000055
38,BABA240126C00092000,92.0,0.01,0.0,0.01,293,0.000054
39,BABA240126C00093000,93.0,0.01,0.0,0.01,46,0.000054
40,BABA240126C00094000,94.0,0.01,0.0,0.01,3,0.000053
41,BABA240126C00095000,95.0,0.01,0.0,0.01,25,0.000053
42,BABA240126C00096000,96.0,0.01,0.0,0.01,82,0.000052
43,BABA240126C00097000,97.0,0.01,0.0,0.03,3,0.000155
44,BABA240126C00098000,98.0,0.03,0.0,0.04,0,0.000204
45,BABA240126C00100000,100.0,0.01,0.0,0.01,7,0.000050
46,BABA240126C00101000,101.0,0.01,0.0,0.01,4,0.000050
47,BABA240126C00102000,102.0,0.01,0.0,0.01,1,0.000049
48,BABA240126C00104000,104.0,0.02,0.0,0.12,0,0.000577
49,BABA240126C00105000,105.0,0.01,0.0,0.01,7,0.000048
50,BABA240126C00110000,110.0,0.01,0.0,0.01,1,0.000045
51,BABA240126C00115000,115.0,0.07,0.0,0.01,2,0.000043
52,BABA240126C00120000,120.0,0.14,0.0,0.01,1,0.000042
53,BABA240126C00135000,135.0,0.01,0.0,0.02,7,0.000074
54,BABA240126C00140000,140.0,0.01,0.0,0.01,5,0.000036
