,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BABA240126C00070000,70.0,4.21,4.15,4.3,1065,0.060357
1,BABA240126C00071000,71.0,3.25,3.2,3.35,193,0.046127
2,BABA240126C00072000,72.0,2.23,2.17,2.26,663,0.030764
3,BABA240126C00073000,73.0,1.21,1.22,1.34,2585,0.017534
4,BABA240126C00074000,74.0,0.31,0.3,0.32,7529,0.004189
5,BABA240126C00075000,75.0,0.02,0.02,0.03,14783,0.000333
6,BABA240126C00076000,76.0,0.01,0.01,0.02,2822,0.000197
7,BABA240126C00077000,77.0,0.01,0.01,0.02,1687,0.000195
8,BABA240126C00078000,78.0,0.01,0.0,0.01,651,6.4e-05
9,BABA240126C00079000,79.0,0.02,0.0,0.01,71,6.3e-05
