,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BABA240126P00030000,30.0,0.02,0.0,0.03,1,0.000500
1,BABA240126P00035000,35.0,0.03,0.0,0.73,0,0.010429
2,BABA240126P00040000,40.0,0.05,0.0,0.42,1,0.005250
3,BABA240126P00045000,45.0,0.01,0.0,0.73,1,0.008111
4,BABA240126P00050000,50.0,0.01,0.0,0.01,1,0.000100
5,BABA240126P00055000,55.0,0.01,0.0,0.01,2,0.000091
6,BABA240126P00057000,57.0,0.03,0.0,0.04,191,0.000351
7,BABA240126P00058000,58.0,0.01,0.0,0.01,21,0.000086
8,BABA240126P00059000,59.0,0.01,0.0,0.01,2,0.000085
9,BABA240126P00060000,60.0,0.01,0.0,0.01,1,0.000083
10,BABA240126P00061000,61.0,0.02,0.0,0.01,20,0.000082
11,BABA240126P00062000,62.0,0.01,0.0,0.01,7,0.000081
12,BABA240126P00063000,63.0,0.01,0.0,0.01,3,0.000079
13,BABA240126P00064000,64.0,0.01,0.0,0.01,3,0.000078
14,BABA240126P00065000,65.0,0.01,0.0,0.01,3,0.000077
15,BABA240126P00066000,66.0,0.01,0.0,0.01,30,0.000076
16,BABA240126P00067000,67.0,0.02,0.0,0.01,7,0.000075
17,BABA240126P00068000,68.0,0.01,0.0,0.01,98,0.000074
18,BABA240126P00069000,69.0,0.01,0.0,0.01,122,0.000072
19,BABA240126P00070000,70.0,0.01,0.0,0.01,390,0.000071
20,BABA240126P00071000,71.0,0.01,0.0,0.01,546,0.000070
21,BABA240126P00072000,72.0,0.01,0.01,0.02,1597,0.000208
22,BABA240126P00073000,73.0,0.01,0.01,0.02,4344,0.000205
23,BABA240126P00074000,74.0,0.04,0.04,0.05,4824,0.000608
24,BABA240126P00075000,75.0,0.75,0.56,0.69,846,0.008333
25,BABA240126P00076000,76.0,1.62,1.51,1.67,174,0.020921
26,BABA240126P00077000,77.0,2.71,2.55,2.63,45,0.033636
27,BABA240126P00078000,78.0,3.6,3.5,3.65,35,0.045833
28,BABA240126P00079000,79.0,4.8,4.5,4.7,9,0.058228
29,BABA240126P00080000,80.0,5.48,5.6,5.8,7,0.071250
30,BABA240126P00081000,81.0,5.8,6.5,6.7,37,0.081481
31,BABA240126P00082000,82.0,9.1,7.5,7.75,1,0.092988
32,BABA240126P00083000,83.0,9.2,8.5,8.7,1,0.103614
33,BABA240126P00084000,84.0,10.1,9.6,9.8,1,0.115476
34,BABA240126P00085000,85.0,11.2,10.65,10.8,1,0.126176
35,BABA240126P00086000,86.0,11.03,11.5,11.75,1,0.135174
36,BABA240126P00087000,87.0,12.5,12.65,12.75,6,0.145977
37,BABA240126P00088000,88.0,15.55,13.6,13.8,0,0.155682
38,BABA240126P00089000,89.0,15.15,14.65,14.75,5,0.165169
39,BABA240126P00090000,90.0,16.4,15.55,15.7,5,0.173611
40,BABA240126P00093000,93.0,18.1,18.5,18.7,18,0.200000
41,BABA240126P00095000,95.0,20.05,20.5,20.65,51,0.216579
42,BABA240126P00096000,96.0,21.4,21.5,21.75,33,0.225260
43,BABA240126P00100000,100.0,26.68,25.6,25.85,5,0.257250
44,BABA240126P00105000,105.0,29.7,30.45,30.75,1,0.291429
45,BABA240126P00110000,110.0,35.1,34.4,35.0,1,0.315455
46,BABA240126P00120000,120.0,42.97,45.6,45.8,8,0.380833
47,BABA240126P00125000,125.0,49.0,53.35,57.35,0,0.442800
48,BABA240126P00140000,140.0,69.4,67.95,68.6,0,0.487679
