,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BABA240126P00070000,70.0,0.01,0.0,0.01,390,7.142857142857143e-05
1,BABA240126P00071000,71.0,0.01,0.0,0.01,510,7.042253521126761e-05
2,BABA240126P00072000,72.0,0.01,0.01,0.02,1552,0.00020833333333333332
3,BABA240126P00073000,73.0,0.01,0.01,0.02,4233,0.0002054794520547945
4,BABA240126P00074000,74.0,0.06,0.06,0.07,4599,0.0008783783783783784
5,BABA240126P00075000,75.0,0.66,0.59,0.68,750,0.008466666666666667
6,BABA240126P00076000,76.0,1.66,1.58,1.67,172,0.02138157894736842
7,BABA240126P00077000,77.0,2.5,2.52,2.69,44,0.03383116883116883
8,BABA240126P00078000,78.0,3.5,3.6,3.7,34,0.0467948717948718
9,BABA240126P00079000,79.0,4.8,4.5,4.7,9,0.05822784810126582
