,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BUD240126C00040000,40.0,23.0,22.0,22.3,7,0.55375
1,BUD240126C00056000,56.0,6.95,5.9,6.2,10,0.1080357142857143
2,BUD240126C00057000,57.0,4.5,4.0,5.2,1,0.0807017543859649
3,BUD240126C00059000,59.0,3.8,2.95,3.2,3,0.052118644067796614
4,BUD240126C00060000,60.0,2.18,1.0,2.25,6,0.027083333333333334
5,BUD240126C00061000,61.0,1.3,0.95,1.25,2,0.018032786885245903
6,BUD240126C00062000,62.0,0.27,0.15,0.25,4,0.0032258064516129032
7,BUD240126C00063000,63.0,0.05,0.0,0.05,6,0.0003968253968253968
8,BUD240126C00064000,64.0,0.1,0.0,0.05,13,0.000390625
9,BUD240126C00065000,65.0,0.12,0.0,0.75,6,0.0057692307692307696
10,BUD240126C00066000,66.0,0.05,0.0,0.05,1,0.0003787878787878788
11,BUD240126C00067000,67.0,0.5,0.0,0.05,7,0.00037313432835820896
12,BUD240126C00068000,68.0,0.05,0.0,0.05,2,0.0003676470588235294
13,BUD240126C00069000,69.0,0.15,0.0,0.15,1,0.0010869565217391304
14,BUD240126C00070000,70.0,0.1,0.0,0.05,18,0.00035714285714285714
15,BUD240126C00074000,74.0,0.05,0.0,0.05,0,0.00033783783783783786
16,BUD240126C00075000,75.0,0.05,0.0,0.05,0,0.0003333333333333334
17,BUD240126C00076000,76.0,0.05,0.0,0.05,0,0.0003289473684210526
18,BUD240126C00077000,77.0,0.05,0.0,0.05,0,0.0003246753246753247
19,BUD240126C00078000,78.0,0.05,0.0,0.05,0,0.0003205128205128205
20,BUD240126C00080000,80.0,0.05,0.0,0.05,0,0.0003125
