,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BUD240126P00055000,55.0,0.59,0.0,0.75,4,0.006818
1,BUD240126P00056000,56.0,0.2,0.0,0.45,1,0.004018
2,BUD240126P00058000,58.0,0.1,0.0,0.05,5,0.000431
3,BUD240126P00060000,60.0,0.11,0.0,0.05,1,0.000417
4,BUD240126P00061000,61.0,0.1,0.0,0.3,13,0.002459
5,BUD240126P00062000,62.0,0.06,0.0,0.15,47,0.00121
6,BUD240126P00063000,63.0,0.95,0.8,0.95,6,0.013889
7,BUD240126P00064000,64.0,1.85,1.4,2.1,2,0.027344
8,BUD240126P00065000,65.0,3.25,2.8,3.0,2,0.044615
9,BUD240126P00066000,66.0,3.38,3.7,4.1,2,0.059091
10,BUD240126P00068000,68.0,4.0,5.7,6.2,1,0.0875
