,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BUD240126P00056000,56.0,0.2,0.0,0.45,1,0.004017857142857143
1,BUD240126P00058000,58.0,0.1,0.0,0.05,5,0.00043103448275862074
2,BUD240126P00060000,60.0,0.11,0.0,0.05,1,0.0004166666666666667
3,BUD240126P00061000,61.0,0.1,0.0,0.3,13,0.0024590163934426227
4,BUD240126P00062000,62.0,0.06,0.0,0.15,47,0.0012096774193548388
5,BUD240126P00063000,63.0,0.95,0.8,1.0,6,0.014285714285714285
6,BUD240126P00064000,64.0,1.85,1.8,2.75,2,0.035546875
7,BUD240126P00065000,65.0,3.25,2.8,2.95,2,0.04423076923076923
8,BUD240126P00066000,66.0,3.38,3.8,4.1,2,0.059848484848484845
9,BUD240126P00068000,68.0,4.0,5.7,6.2,1,0.08750000000000001
