,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,LULU240126C00455000,455.0,25.27,16.9,20.75,1,0.04137362637362637
1,LULU240126C00460000,460.0,20.5,12.15,15.3,3,0.029836956521739132
2,LULU240126C00465000,465.0,6.95,9.15,10.1,11,0.020698924731182795
3,LULU240126C00470000,470.0,4.77,5.1,5.5,49,0.01127659574468085
4,LULU240126C00472500,472.5,3.35,3.4,3.8,83,0.007619047619047618
5,LULU240126C00475000,475.0,2.15,2.05,2.48,231,0.004768421052631578
6,LULU240126C00477500,477.5,1.09,1.14,1.42,57,0.0026806282722513083
7,LULU240126C00480000,480.0,0.71,0.66,0.78,203,0.0015
8,LULU240126C00482500,482.5,0.4,0.33,0.42,44,0.0007772020725388601
9,LULU240126C00485000,485.0,0.18,0.16,0.25,246,0.0004226804123711341
