,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,LULU240126P00460000,460.0,0.3,0.27,0.33,197,0.0006521739130434783
1,LULU240126P00465000,465.0,0.66,0.59,0.69,154,0.001376344086021505
2,LULU240126P00470000,470.0,1.4,1.35,1.48,115,0.0030106382978723405
3,LULU240126P00472500,472.5,2.65,1.96,2.13,86,0.0043280423280423275
4,LULU240126P00475000,475.0,3.0,2.82,2.98,114,0.006105263157894737
5,LULU240126P00477500,477.5,4.01,3.95,4.15,54,0.008481675392670158
6,LULU240126P00480000,480.0,4.95,5.25,5.6,77,0.011302083333333332
7,LULU240126P00482500,482.5,7.54,6.85,7.45,8,0.014818652849740934
8,LULU240126P00485000,485.0,9.15,8.65,9.65,10,0.0188659793814433
9,LULU240126P00487500,487.5,10.83,10.75,12.75,2,0.024102564102564103
