,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,LULU240126P00455000,455.0,0.07,0.01,0.16,257,0.00018681318681318683
1,LULU240126P00460000,460.0,0.2,0.1,0.35,262,0.0004891304347826086
2,LULU240126P00465000,465.0,0.35,0.29,0.38,426,0.0007204301075268817
3,LULU240126P00470000,470.0,1.05,0.92,1.12,287,0.0021702127659574467
4,LULU240126P00472500,472.5,2.13,1.7,2.0,91,0.003915343915343915
5,LULU240126P00475000,475.0,5.14,2.83,3.1,158,0.006242105263157894
6,LULU240126P00477500,477.5,4.92,4.35,4.8,24,0.009581151832460732
7,LULU240126P00480000,480.0,6.55,5.65,7.05,29,0.013229166666666665
8,LULU240126P00482500,482.5,11.23,8.2,9.05,1,0.017875647668393783
9,LULU240126P00485000,485.0,15.75,10.55,12.3,5,0.023556701030927836
