,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,NVO240126C00065000,65.0,40.75,41.85,43.85,1,0.659231
1,NVO240126C00070000,70.0,35.82,36.65,38.75,5,0.538571
2,NVO240126C00075000,75.0,32.02,31.6,33.3,4,0.432667
3,NVO240126C00087000,87.0,21.5,20.25,21.1,1,0.237644
4,NVO240126C00088000,88.0,18.08,19.3,19.8,1,0.222159
5,NVO240126C00090000,90.0,15.73,17.25,18.1,1,0.196389
6,NVO240126C00092000,92.0,11.75,14.45,15.55,3,0.163043
7,NVO240126C00093000,93.0,12.04,14.25,14.85,2,0.156452
8,NVO240126C00095000,95.0,10.3,11.55,13.1,11,0.129737
9,NVO240126C00096000,96.0,11.55,11.3,11.65,1,0.119531
10,NVO240126C00097000,97.0,10.7,10.25,10.95,10,0.109278
11,NVO240126C00098000,98.0,7.57,8.65,10.6,5,0.098214
12,NVO240126C00099000,99.0,7.5,6.95,9.9,1,0.085101
13,NVO240126C00100000,100.0,7.64,5.75,8.9,55,0.073250
14,NVO240126C00101000,101.0,5.6,6.45,6.9,1,0.066089
15,NVO240126C00102000,102.0,4.8,5.55,7.2,4,0.062500
16,NVO240126C00103000,103.0,4.7,2.77,5.85,11,0.041845
17,NVO240126C00104000,104.0,3.4,3.4,3.7,12,0.034135
18,NVO240126C00105000,105.0,2.5,2.5,3.35,67,0.027857
19,NVO240126C00106000,106.0,1.7,1.27,1.79,315,0.014434
20,NVO240126C00107000,107.0,0.73,0.48,0.7,445,0.005514
21,NVO240126C00108000,108.0,0.07,0.04,0.06,3811,0.000463
22,NVO240126C00109000,109.0,0.02,0.01,0.07,107,0.000367
23,NVO240126C00110000,110.0,0.01,0.0,0.01,24,0.000045
24,NVO240126C00111000,111.0,0.06,0.0,0.01,10,0.000045
25,NVO240126C00112000,112.0,0.04,0.0,0.01,2,0.000045
26,NVO240126C00113000,113.0,0.01,0.0,0.01,1,0.000044
27,NVO240126C00114000,114.0,0.1,0.0,0.75,1,0.003289
28,NVO240126C00115000,115.0,0.01,0.0,0.25,15,0.001087
29,NVO240126C00116000,116.0,0.1,0.0,0.12,1,0.000517
30,NVO240126C00117000,117.0,0.01,0.0,0.75,21,0.003205
31,NVO240126C00118000,118.0,0.01,0.0,0.02,5,0.000085
32,NVO240126C00119000,119.0,0.2,0.0,0.75,0,0.003151
33,NVO240126C00120000,120.0,0.01,0.0,0.5,30,0.002083
34,NVO240126C00140000,140.0,0.2,0.0,0.75,0,0.002679
