,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,NVO240126C00103000,103.0,4.7,4.55,4.85,11,0.045631
1,NVO240126C00104000,104.0,3.4,3.55,3.8,12,0.035337
2,NVO240126C00105000,105.0,2.71,2.52,2.89,64,0.025762
3,NVO240126C00106000,106.0,1.8,1.42,1.74,306,0.014906
4,NVO240126C00107000,107.0,0.7,0.55,0.77,444,0.006168
5,NVO240126C00108000,108.0,0.07,0.05,0.07,3795,0.000556
6,NVO240126C00109000,109.0,0.02,0.01,0.07,107,0.000367
7,NVO240126C00110000,110.0,0.01,0.0,0.01,24,4.5e-05
8,NVO240126C00111000,111.0,0.06,0.0,0.01,10,4.5e-05
9,NVO240126C00112000,112.0,0.04,0.0,0.01,2,4.5e-05
