Symbol     Value     
--------------------
PBR        0.00006824
SHOP       0.00005697
GSK        0.00004529
VALE       0.00004218
MRVL       0.00003397
TEAM       0.00002584
AZN        0.00002543
BP         0.00002276
SNOW       0.00002116
BUD        0.00001960
BABA       0.00001912
DELL       0.00001842
PDD        0.00001838
EPD        0.00001755
HSBC       0.00001623
TSM        0.00001620
NVO        0.00001289
SHEL       0.00001247
APO        0.00001052
KKR        0.00000940
SONY       0.00000907
CRWD       0.00000888
WDAY       0.00000588
ASML       0.00000221
MELI       0.00000207
RACE       0.00000018
UBS        0.00000000
