Symbol   Value   
--------------------
VALE     0.72187205
PBR      0.70850876
BP       0.49169553
BABA     0.40388017
MRVL     0.25656203
AZN      0.25646325
SHOP     0.24064379
KKR      0.15442055
APO      0.15396120
GSK      0.12061864
DELL     0.11743166
HSBC     0.11301826
TSM      0.10673185
SHEL     0.10606730
SONY     0.09779626
BUD      0.09720939
SNOW     0.09350982
TEAM     0.08675704
PDD      0.06909251
NVO      0.06555696
CRWD     0.05873273
WDAY     0.03902308
ASML     0.01370899
MELI     0.00798556
RACE     0.00000000
UBS      0.00000000
EPD      0.00000000
