,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,PBR240126C00007000,7.0,9.6,7.8,11.75,1,1.396429
1,PBR240126C00012000,12.0,3.68,2.93,6.2,1,0.380417
2,PBR240126C00013000,13.0,2.71,2.69,2.9,1,0.215000
3,PBR240126C00013500,13.5,3.0,1.33,4.7,1,0.223333
4,PBR240126C00014000,14.0,2.72,1.0,4.2,13,0.185714
5,PBR240126C00014500,14.5,1.69,0.5,3.15,6,0.125862
6,PBR240126C00015000,15.0,1.97,2.05,2.08,36,0.137667
7,PBR240126C00015500,15.5,1.38,1.39,2.99,3,0.141290
8,PBR240126C00016000,16.0,1.05,1.02,1.23,367,0.070312
9,PBR240126C00016500,16.5,0.53,0.52,0.59,364,0.033636
10,PBR240126C00017000,17.0,0.07,0.07,0.09,271,0.004706
11,PBR240126C00017500,17.5,0.02,0.0,0.01,50,0.000286
12,PBR240126C00018000,18.0,0.03,0.0,0.01,10,0.000278
13,PBR240126C00018500,18.5,0.02,0.0,0.75,5,0.020270
14,PBR240126C00019000,19.0,0.04,0.0,0.02,0,0.000526
15,PBR240126C00020500,20.5,0.02,0.0,0.62,0,0.015122
