,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,PBR240126C00015000,15.0,1.97,0.98,2.27,36,0.10833333333333334
1,PBR240126C00015500,15.5,1.38,1.06,2.99,3,0.1306451612903226
2,PBR240126C00016000,16.0,0.86,0.91,1.08,355,0.06218750000000001
3,PBR240126C00016500,16.5,0.45,0.45,0.51,350,0.02909090909090909
4,PBR240126C00017000,17.0,0.03,0.02,0.03,97,0.0014705882352941176
5,PBR240126C00017500,17.5,0.02,0.0,0.03,50,0.0008571428571428571
6,PBR240126C00018000,18.0,0.03,0.0,0.01,10,0.0002777777777777778
7,PBR240126C00018500,18.5,0.02,0.0,0.75,5,0.02027027027027027
8,PBR240126C00019000,19.0,0.04,0.0,0.02,0,0.0005263157894736842
9,PBR240126C00020500,20.5,0.02,0.0,0.62,0,0.015121951219512195
