,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,PBR240126P00008000,8.0,0.02,0.0,0.02,0,0.001250
1,PBR240126P00012000,12.0,2.16,0.0,0.02,0,0.000833
2,PBR240126P00013500,13.5,0.03,0.0,0.01,2,0.000370
3,PBR240126P00014000,14.0,0.11,0.0,0.05,251,0.001786
4,PBR240126P00014500,14.5,0.01,0.0,0.28,1,0.009655
5,PBR240126P00015000,15.0,0.01,0.0,0.01,2,0.000333
6,PBR240126P00015500,15.5,0.02,0.0,0.01,1,0.000323
7,PBR240126P00016000,16.0,0.02,0.0,0.01,18,0.000313
8,PBR240126P00016500,16.5,0.01,0.0,0.01,35,0.000303
9,PBR240126P00017000,17.0,0.06,0.02,0.04,25,0.001765
10,PBR240126P00017500,17.5,1.84,0.02,1.86,1,0.053714
