,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,PDD240126C00138000,138.0,5.1,4.55,5.0,3,0.034601
1,PDD240126C00139000,139.0,4.42,2.96,4.0,12,0.025036
2,PDD240126C00140000,140.0,3.0,2.57,2.98,3,0.019821
3,PDD240126C00141000,141.0,2.19,1.62,1.87,165,0.012376
4,PDD240126C00142000,142.0,1.1,0.7,0.96,29,0.005845
5,PDD240126C00143000,143.0,0.27,0.19,0.23,291,0.001469
6,PDD240126C00144000,144.0,0.09,0.05,0.09,502,0.000486
7,PDD240126C00145000,145.0,0.04,0.02,0.05,383,0.000241
8,PDD240126C00146000,146.0,0.01,0.0,0.01,100,3.4e-05
9,PDD240126C00147000,147.0,0.01,0.0,0.01,84,3.4e-05
