,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,PDD240126P00138000,138.0,0.02,0.0,0.1,504,0.000362
1,PDD240126P00139000,139.0,0.01,0.01,0.03,219,0.000144
2,PDD240126P00140000,140.0,0.03,0.01,0.03,135,0.000143
3,PDD240126P00141000,141.0,0.04,0.02,0.06,221,0.000284
4,PDD240126P00142000,142.0,0.12,0.09,0.12,557,0.000739
5,PDD240126P00143000,143.0,0.46,0.46,0.5,192,0.003357
6,PDD240126P00144000,144.0,1.12,1.18,1.41,163,0.008993
7,PDD240126P00145000,145.0,2.13,2.16,2.44,49,0.015862
8,PDD240126P00146000,146.0,2.78,3.15,3.4,2,0.022432
9,PDD240126P00147000,147.0,3.65,4.1,4.35,3,0.028741
