,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHEL240126C00040000,40.0,21.29,22.8,23.0,22,0.572500
1,SHEL240126C00055000,55.0,8.2,7.8,8.0,0,0.143636
2,SHEL240126C00059000,59.0,3.65,3.8,4.0,1,0.066102
3,SHEL240126C00060000,60.0,2.86,2.85,2.95,7,0.048333
4,SHEL240126C00061000,61.0,1.7,1.85,1.95,42,0.031148
5,SHEL240126C00062000,62.0,0.88,0.8,0.95,1097,0.014113
6,SHEL240126C00063000,63.0,0.1,0.0,0.05,1,0.000397
7,SHEL240126C00064000,64.0,0.1,0.0,0.05,3,0.000391
8,SHEL240126C00065000,65.0,0.02,0.0,0.05,6,0.000385
9,SHEL240126C00066000,66.0,0.03,0.0,0.05,1,0.000379
10,SHEL240126C00067000,67.0,0.03,0.0,0.1,1,0.000746
11,SHEL240126C00068000,68.0,0.02,0.0,0.1,4,0.000735
12,SHEL240126C00069000,69.0,0.08,0.0,0.7,4,0.005072
13,SHEL240126C00070000,70.0,0.01,0.0,0.75,6,0.005357
14,SHEL240126C00071000,71.0,0.32,0.0,0.75,1,0.005282
15,SHEL240126C00072000,72.0,0.21,0.0,0.75,1,0.005208
