,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHOP240126C00040000,40.0,41.84,40.6,43.65,14,1.053125
1,SHOP240126C00050000,50.0,30.93,31.7,32.3,3,0.640000
2,SHOP240126C00055000,55.0,26.5,26.85,27.25,8,0.491818
3,SHOP240126C00059000,59.0,22.9,22.8,23.05,15,0.388559
4,SHOP240126C00060000,60.0,21.87,21.8,22.0,19,0.365000
5,SHOP240126C00061000,61.0,20.71,20.8,20.9,11,0.341803
6,SHOP240126C00062000,62.0,20.05,19.85,20.0,1,0.321371
7,SHOP240126C00063000,63.0,19.09,18.8,19.0,6,0.300000
8,SHOP240126C00064000,64.0,17.03,17.8,18.0,3,0.279687
9,SHOP240126C00065000,65.0,17.15,16.85,16.95,11,0.260000
10,SHOP240126C00066000,66.0,16.16,15.75,15.95,2,0.240152
11,SHOP240126C00067000,67.0,15.25,14.85,15.0,22,0.222761
12,SHOP240126C00068000,68.0,12.37,13.85,14.0,1,0.204779
13,SHOP240126C00069000,69.0,13.17,12.9,13.0,8,0.187681
14,SHOP240126C00070000,70.0,12.1,11.8,12.0,49,0.170000
15,SHOP240126C00071000,71.0,11.04,10.8,11.0,5,0.153521
16,SHOP240126C00072000,72.0,8.22,9.85,10.0,25,0.137847
17,SHOP240126C00073000,73.0,8.96,8.8,8.95,2,0.121575
18,SHOP240126C00074000,74.0,8.28,7.8,7.95,14,0.106419
19,SHOP240126C00075000,75.0,6.7,6.85,6.9,58,0.091667
20,SHOP240126C00076000,76.0,6.14,5.8,5.95,13,0.077303
21,SHOP240126C00077000,77.0,5.26,4.8,5.0,47,0.063636
22,SHOP240126C00078000,78.0,3.58,3.8,4.0,119,0.050000
23,SHOP240126C00079000,79.0,2.77,2.8,2.92,205,0.036203
24,SHOP240126C00080000,80.0,1.88,1.78,1.97,648,0.023438
25,SHOP240126C00081000,81.0,0.99,0.89,0.95,614,0.011358
26,SHOP240126C00082000,82.0,0.28,0.23,0.26,2571,0.002988
27,SHOP240126C00083000,83.0,0.07,0.05,0.08,1560,0.000783
28,SHOP240126C00084000,84.0,0.02,0.02,0.04,3878,0.000357
29,SHOP240126C00085000,85.0,0.03,0.01,0.03,1371,0.000235
30,SHOP240126C00086000,86.0,0.01,0.0,0.01,321,0.000058
31,SHOP240126C00087000,87.0,0.02,0.0,0.01,12,0.000057
32,SHOP240126C00088000,88.0,0.01,0.0,0.02,207,0.000114
33,SHOP240126C00089000,89.0,0.03,0.0,0.01,3,0.000056
34,SHOP240126C00090000,90.0,0.01,0.0,0.01,43,0.000056
35,SHOP240126C00091000,91.0,0.03,0.0,0.02,17,0.000110
36,SHOP240126C00092000,92.0,0.01,0.0,0.02,9,0.000109
37,SHOP240126C00093000,93.0,0.01,0.0,0.02,1,0.000108
38,SHOP240126C00095000,95.0,0.01,0.0,0.01,9,0.000053
39,SHOP240126C00100000,100.0,0.03,0.0,0.02,10,0.000100
40,SHOP240126C00105000,105.0,0.05,0.0,0.02,20,0.000095
41,SHOP240126C00110000,110.0,0.03,0.0,0.02,90,0.000091
42,SHOP240126C00115000,115.0,0.04,0.0,0.02,10,0.000087
