,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHOP240126C00077000,77.0,5.26,4.9,5.0,47,0.064286
1,SHOP240126C00078000,78.0,3.58,3.85,4.0,119,0.050321
2,SHOP240126C00079000,79.0,2.77,2.89,3.1,205,0.037911
3,SHOP240126C00080000,80.0,1.84,1.84,2.04,640,0.02425
4,SHOP240126C00081000,81.0,0.8,0.96,1.11,596,0.012778
5,SHOP240126C00082000,82.0,0.32,0.31,0.33,2511,0.003902
6,SHOP240126C00083000,83.0,0.06,0.05,0.09,1548,0.000843
7,SHOP240126C00084000,84.0,0.02,0.02,0.03,3873,0.000298
8,SHOP240126C00085000,85.0,0.01,0.01,0.03,1359,0.000235
9,SHOP240126C00086000,86.0,0.01,0.0,0.01,321,5.8e-05
