,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHOP240126P00045000,45.0,0.04,0.0,0.02,15,0.000222
1,SHOP240126P00050000,50.0,0.02,0.0,0.02,1,0.000200
2,SHOP240126P00055000,55.0,0.06,0.0,0.02,4,0.000182
3,SHOP240126P00059000,59.0,0.01,0.0,0.01,6,0.000085
4,SHOP240126P00060000,60.0,0.03,0.0,0.02,2,0.000167
5,SHOP240126P00061000,61.0,0.05,0.0,0.02,1,0.000164
6,SHOP240126P00062000,62.0,0.01,0.0,0.02,11,0.000161
7,SHOP240126P00063000,63.0,0.01,0.0,0.02,1390,0.000159
8,SHOP240126P00064000,64.0,0.01,0.0,0.01,1,0.000078
9,SHOP240126P00065000,65.0,0.01,0.0,0.02,1,0.000154
10,SHOP240126P00066000,66.0,0.01,0.0,0.02,2,0.000152
11,SHOP240126P00067000,67.0,0.02,0.0,0.02,1,0.000149
12,SHOP240126P00068000,68.0,0.02,0.0,0.02,16,0.000147
13,SHOP240126P00069000,69.0,0.01,0.0,0.02,962,0.000145
14,SHOP240126P00070000,70.0,0.01,0.0,0.02,501,0.000143
15,SHOP240126P00071000,71.0,0.01,0.0,0.02,2,0.000141
16,SHOP240126P00072000,72.0,0.01,0.0,0.01,86,0.000069
17,SHOP240126P00073000,73.0,0.01,0.0,0.02,15,0.000137
18,SHOP240126P00074000,74.0,0.01,0.0,0.02,5,0.000135
19,SHOP240126P00075000,75.0,0.01,0.0,0.01,221,0.000067
20,SHOP240126P00076000,76.0,0.01,0.0,0.01,321,0.000066
21,SHOP240126P00077000,77.0,0.01,0.0,0.02,2796,0.000130
22,SHOP240126P00078000,78.0,0.01,0.01,0.02,320,0.000192
23,SHOP240126P00079000,79.0,0.02,0.01,0.03,138,0.000253
24,SHOP240126P00080000,80.0,0.03,0.01,0.04,791,0.000313
25,SHOP240126P00081000,81.0,0.08,0.05,0.09,1307,0.000864
26,SHOP240126P00082000,82.0,0.35,0.34,0.37,1534,0.004329
27,SHOP240126P00083000,83.0,1.01,1.1,1.19,345,0.013795
28,SHOP240126P00084000,84.0,1.76,2.03,2.26,25,0.025536
29,SHOP240126P00085000,85.0,3.1,3.05,3.2,58,0.036765
30,SHOP240126P00086000,86.0,4.2,4.0,4.2,2,0.047674
31,SHOP240126P00087000,87.0,6.75,5.0,5.2,3,0.058621
32,SHOP240126P00088000,88.0,6.05,6.05,6.15,6,0.069318
33,SHOP240126P00089000,89.0,7.83,7.0,7.2,3,0.079775
34,SHOP240126P00090000,90.0,9.95,8.05,8.2,2,0.090278
35,SHOP240126P00091000,91.0,10.35,9.0,9.2,2,0.100000
36,SHOP240126P00092000,92.0,10.75,10.1,10.2,2,0.110326
37,SHOP240126P00093000,93.0,12.05,11.0,11.2,6,0.119355
38,SHOP240126P00095000,95.0,14.05,13.05,13.2,7,0.138158
39,SHOP240126P00100000,100.0,18.55,18.0,18.15,1,0.180750
