,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHOP240126P00077000,77.0,0.01,0.0,0.02,2796,0.00013
1,SHOP240126P00078000,78.0,0.01,0.01,0.02,299,0.000192
2,SHOP240126P00079000,79.0,0.03,0.01,0.03,132,0.000253
3,SHOP240126P00080000,80.0,0.03,0.02,0.04,791,0.000375
4,SHOP240126P00081000,81.0,0.06,0.06,0.09,1295,0.000926
5,SHOP240126P00082000,82.0,0.35,0.31,0.33,1402,0.003902
6,SHOP240126P00083000,83.0,1.45,0.98,1.18,330,0.013012
7,SHOP240126P00084000,84.0,1.76,2.0,2.17,25,0.024821
8,SHOP240126P00085000,85.0,3.4,2.96,3.1,48,0.035647
9,SHOP240126P00086000,86.0,4.2,3.95,4.2,2,0.047384
