,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SONY240126C00091000,91.0,5.7,4.4,4.7,5,0.05
1,SONY240126C00092000,92.0,3.1,3.4,3.7,1,0.038587
2,SONY240126C00093000,93.0,3.85,2.45,2.65,3,0.027419
3,SONY240126C00094000,94.0,4.67,1.4,1.75,2,0.016755
4,SONY240126C00095000,95.0,0.3,0.55,0.7,74,0.006579
5,SONY240126C00096000,96.0,1.18,0.0,0.1,2,0.000521
6,SONY240126C00097000,97.0,0.02,0.0,0.05,1,0.000258
7,SONY240126C00098000,98.0,0.15,0.0,0.05,109,0.000255
8,SONY240126C00099000,99.0,0.19,0.0,0.05,8,0.000253
9,SONY240126C00100000,100.0,0.05,0.0,0.05,8,0.00025
