,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SONY240126P00080000,80.0,0.25,0.0,0.05,0,0.000313
1,SONY240126P00089000,89.0,0.46,0.0,0.05,4,0.000281
2,SONY240126P00090000,90.0,0.09,0.0,0.05,1,0.000278
3,SONY240126P00091000,91.0,0.14,0.0,0.05,1,0.000275
4,SONY240126P00092000,92.0,1.75,0.0,0.15,1,0.000815
5,SONY240126P00093000,93.0,0.15,0.0,0.1,2,0.000538
6,SONY240126P00094000,94.0,0.1,0.0,0.05,10,0.000266
7,SONY240126P00095000,95.0,0.21,0.0,0.05,9,0.000263
8,SONY240126P00096000,96.0,1.15,0.4,0.6,6,0.005208
9,SONY240126P00097000,97.0,1.4,1.3,1.5,1,0.014433
10,SONY240126P00098000,98.0,2.95,2.0,2.55,1,0.023214
11,SONY240126P00099000,99.0,3.97,3.3,3.5,1,0.034343
12,SONY240126P00100000,100.0,1.95,4.3,4.5,4,0.044
13,SONY240126P00101000,101.0,1.4,5.2,6.0,0,0.055446
