,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,TSM240126C00075000,75.0,37.85,41.7,41.9,5,0.557333
1,TSM240126C00085000,85.0,29.2,31.65,32.0,14,0.374412
2,TSM240126C00086000,86.0,15.37,30.4,30.95,1,0.356686
3,TSM240126C00087000,87.0,15.45,29.65,29.95,0,0.342529
4,TSM240126C00088000,88.0,13.55,28.6,28.95,1,0.326989
5,TSM240126C00089000,89.0,24.85,27.65,28.0,1,0.312640
6,TSM240126C00090000,90.0,23.6,26.55,26.95,2,0.297222
7,TSM240126C00091000,91.0,25.5,25.7,26.0,10,0.284066
8,TSM240126C00092000,92.0,24.7,24.7,24.9,10,0.269565
9,TSM240126C00093000,93.0,23.8,23.65,23.85,10,0.255376
10,TSM240126C00094000,94.0,22.55,22.7,22.85,10,0.242287
11,TSM240126C00095000,95.0,21.55,21.7,21.85,12,0.229211
12,TSM240126C00096000,96.0,20.6,20.65,20.9,12,0.216406
13,TSM240126C00097000,97.0,19.75,19.75,19.9,11,0.204381
14,TSM240126C00098000,98.0,18.95,18.75,18.9,19,0.192092
15,TSM240126C00099000,99.0,18.13,17.7,17.85,23,0.179545
16,TSM240126C00100000,100.0,17.55,16.7,16.9,17,0.168000
17,TSM240126C00101000,101.0,16.62,15.75,15.9,14,0.156683
18,TSM240126C00102000,102.0,15.44,14.75,14.9,6,0.145343
19,TSM240126C00103000,103.0,13.82,13.7,13.85,11,0.133738
20,TSM240126C00104000,104.0,13.0,12.75,12.9,1,0.123317
21,TSM240126C00105000,105.0,12.47,11.75,11.9,28,0.112619
22,TSM240126C00106000,106.0,10.82,10.75,10.9,13,0.102123
23,TSM240126C00107000,107.0,10.65,9.75,9.9,3,0.091822
24,TSM240126C00108000,108.0,9.47,8.75,8.9,12,0.081713
25,TSM240126C00109000,109.0,7.71,7.7,7.9,16,0.071560
26,TSM240126C00110000,110.0,6.82,6.75,6.85,63,0.061818
27,TSM240126C00111000,111.0,6.48,5.75,5.9,7,0.052477
28,TSM240126C00112000,112.0,4.83,4.75,4.9,37,0.043080
29,TSM240126C00113000,113.0,3.85,3.75,3.9,59,0.033850
30,TSM240126C00114000,114.0,2.76,2.76,2.88,79,0.024737
31,TSM240126C00115000,115.0,1.8,1.73,1.86,255,0.015609
32,TSM240126C00116000,116.0,0.82,0.83,0.93,624,0.007586
33,TSM240126C00117000,117.0,0.2,0.19,0.2,1338,0.001667
34,TSM240126C00118000,118.0,0.02,0.02,0.03,4559,0.000212
35,TSM240126C00119000,119.0,0.01,0.0,0.01,8051,0.000042
36,TSM240126C00120000,120.0,0.01,0.0,0.01,1614,0.000042
37,TSM240126C00121000,121.0,0.01,0.0,0.01,156,0.000041
38,TSM240126C00122000,122.0,0.01,0.0,0.01,193,0.000041
39,TSM240126C00123000,123.0,0.01,0.0,0.01,5,0.000041
40,TSM240126C00124000,124.0,0.02,0.0,0.01,11,0.000040
41,TSM240126C00125000,125.0,0.01,0.0,0.01,15,0.000040
42,TSM240126C00126000,126.0,0.01,0.0,0.04,30,0.000159
43,TSM240126C00127000,127.0,0.01,0.0,0.01,1,0.000039
44,TSM240126C00128000,128.0,0.03,0.0,0.03,30,0.000117
45,TSM240126C00129000,129.0,0.02,0.0,0.05,13,0.000194
46,TSM240126C00130000,130.0,0.01,0.0,0.02,251,0.000077
47,TSM240126C00135000,135.0,0.01,0.0,0.01,1,0.000037
