,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,TSM240126C00112000,112.0,4.83,4.75,4.9,37,0.043080
1,TSM240126C00113000,113.0,3.85,3.75,3.9,59,0.033850
2,TSM240126C00114000,114.0,2.76,2.76,2.88,79,0.024737
3,TSM240126C00115000,115.0,1.8,1.73,1.86,255,0.015609
4,TSM240126C00116000,116.0,0.82,0.83,0.93,624,0.007586
5,TSM240126C00117000,117.0,0.2,0.19,0.2,1338,0.001667
6,TSM240126C00118000,118.0,0.02,0.02,0.03,4559,0.000212
7,TSM240126C00119000,119.0,0.01,0.0,0.01,8051,0.000042
8,TSM240126C00120000,120.0,0.01,0.0,0.01,1614,0.000042
9,TSM240126C00121000,121.0,0.01,0.0,0.01,156,0.000041
