,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,TSM240126P00055000,55.0,0.03,0.0,0.01,3,0.000091
1,TSM240126P00060000,60.0,0.04,0.0,0.75,1,0.006250
2,TSM240126P00065000,65.0,0.03,0.0,0.21,20,0.001615
3,TSM240126P00070000,70.0,0.01,0.0,0.01,1,0.000071
4,TSM240126P00075000,75.0,0.01,0.0,0.01,3,0.000067
5,TSM240126P00080000,80.0,0.01,0.0,0.01,6,0.000063
6,TSM240126P00085000,85.0,0.01,0.0,0.01,1925,0.000059
7,TSM240126P00086000,86.0,0.07,0.0,0.21,4,0.001221
8,TSM240126P00087000,87.0,0.01,0.0,0.01,5,0.000057
9,TSM240126P00088000,88.0,0.02,0.0,0.03,7,0.000170
10,TSM240126P00089000,89.0,0.01,0.0,0.21,1,0.001180
11,TSM240126P00090000,90.0,0.01,0.0,0.01,1,0.000056
12,TSM240126P00091000,91.0,0.01,0.0,0.01,39,0.000055
13,TSM240126P00092000,92.0,0.01,0.0,0.01,38,0.000054
14,TSM240126P00093000,93.0,0.01,0.0,0.01,37,0.000054
15,TSM240126P00094000,94.0,0.01,0.0,0.02,1,0.000106
16,TSM240126P00095000,95.0,0.01,0.0,0.02,37,0.000105
17,TSM240126P00096000,96.0,0.01,0.0,0.01,1,0.000052
18,TSM240126P00097000,97.0,0.01,0.0,0.01,1,0.000052
19,TSM240126P00098000,98.0,0.01,0.0,0.01,1,0.000051
20,TSM240126P00099000,99.0,0.01,0.0,0.01,37,0.000051
21,TSM240126P00100000,100.0,0.01,0.0,0.01,3,0.000050
22,TSM240126P00101000,101.0,0.01,0.0,0.2,38,0.000990
23,TSM240126P00102000,102.0,0.02,0.0,0.04,10,0.000196
24,TSM240126P00103000,103.0,0.02,0.0,0.01,11,0.000049
25,TSM240126P00104000,104.0,0.05,0.0,0.01,40,0.000048
26,TSM240126P00105000,105.0,0.03,0.0,0.01,2,0.000048
27,TSM240126P00106000,106.0,0.01,0.0,0.01,3,0.000047
28,TSM240126P00107000,107.0,0.01,0.0,0.01,21,0.000047
29,TSM240126P00108000,108.0,0.01,0.0,0.01,55,0.000046
30,TSM240126P00109000,109.0,0.01,0.0,0.01,4,0.000046
31,TSM240126P00110000,110.0,0.01,0.0,0.01,52,0.000045
32,TSM240126P00111000,111.0,0.01,0.0,0.01,5,0.000045
33,TSM240126P00112000,112.0,0.01,0.0,0.01,20,0.000045
34,TSM240126P00113000,113.0,0.01,0.0,0.01,57,0.000044
35,TSM240126P00114000,114.0,0.01,0.0,0.01,182,0.000044
36,TSM240126P00115000,115.0,0.03,0.01,0.02,459,0.000130
37,TSM240126P00116000,116.0,0.06,0.06,0.08,1290,0.000603
38,TSM240126P00117000,117.0,0.4,0.39,0.41,1955,0.003419
39,TSM240126P00118000,118.0,1.13,1.18,1.29,471,0.010466
40,TSM240126P00119000,119.0,1.43,2.12,2.25,36,0.018361
41,TSM240126P00120000,120.0,3.25,3.1,3.25,9,0.026458
42,TSM240126P00125000,125.0,7.25,8.1,8.25,3,0.065400
43,TSM240126P00126000,126.0,11.2,9.15,9.25,8,0.073016
44,TSM240126P00128000,128.0,11.43,10.45,12.25,0,0.088672
45,TSM240126P00130000,130.0,26.52,28.45,28.95,0,0.220769
46,TSM240126P00135000,135.0,16.5,18.1,18.25,2,0.134630
