,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,TSM240126P00112000,112.0,0.01,0.0,0.01,20,0.000045
1,TSM240126P00113000,113.0,0.01,0.0,0.01,57,0.000044
2,TSM240126P00114000,114.0,0.01,0.0,0.01,182,0.000044
3,TSM240126P00115000,115.0,0.03,0.01,0.02,459,0.000130
4,TSM240126P00116000,116.0,0.06,0.06,0.08,1290,0.000603
5,TSM240126P00117000,117.0,0.4,0.39,0.41,1955,0.003419
6,TSM240126P00118000,118.0,1.13,1.18,1.29,471,0.010466
7,TSM240126P00119000,119.0,1.43,2.12,2.25,36,0.018361
8,TSM240126P00120000,120.0,3.25,3.1,3.25,9,0.026458
9,TSM240126P00125000,125.0,7.25,8.1,8.25,3,0.065400
